,Weight
GOOGL,2.727295752362247e-16
META,3.274237983413757e-16
DIS,1.3756105031796502e-15
NFLX,0.031510179146553706
VZ,1.2024210814484552e-16
T,6.59781526332603e-17
TMUS,0.0911109267702803
CMCSA,1.0216793512745894e-15
CHTR,7.912948832771657e-18
EA,1.624677008414453e-17
TTWO,2.7655451528643367e-17
AMZN,7.878172720150177e-17
TSLA,0.04832524960573994
HD,2.0782709108502385e-18
LOW,9.953414294335655e-17
MCD,0.014888315001140883
SBUX,4.2505186345415264e-16
NKE,1.2390539147776047e-15
TGT,1.3189576303375372e-18
BKNG,9.55669223447503e-17
MAR,6.669176128469362e-17
HLT,3.755897111797194e-17
MGM,1.7688382969298779e-15
ROST,6.496177757943899e-19
TJX,5.598353991990539e-17
GM,8.384462830829866e-16
F,1.7448907035576105e-15
ULTA,5.5151691253466055e-17
ORLY,0.02846626111798188
AZO,0.047781391886171656
PVH,1.3026944727732636e-15
TPR,2.5171854468056615e-16
CCL,3.2880782203278146e-15
RCL,3.712568233658484e-17
EBAY,3.758253973075765e-16
LULU,4.340745182842847e-17
PG,4.297131462843623e-18
KO,4.620776563499397e-17
PEP,2.0529590094150618e-17
WMT,0.03668320883718298
COST,0.0859542016389604
MO,7.946421850147614e-17
PM,2.60846826443787e-17
MDLZ,3.141727829832804e-16
KMB,3.286865031684791e-17
CL,1.0558428652116969e-18
GIS,7.556350650925969e-17
HSY,6.149184996355733e-17
SYY,5.537480036991474e-18
KR,0.01576003196395939
TAP,4.175955637526849e-16
STZ,3.306815479326238e-17
EL,1.9922788323055773e-15
CPB,3.292562126547272e-17
CHD,0.04441938498018783
XOM,3.614075167287252e-17
CVX,1.200639860807858e-17
COP,3.5104593697705996e-17
EOG,3.5515442504448e-17
SLB,1.4454988296991613e-15
HAL,1.3123441455359215e-15
DVN,6.836634639399352e-16
OXY,8.150019193222136e-16
MPC,9.628893033902994e-17
VLO,5.697014784312511e-17
PSX,1.8583225984880785e-17
KMI,8.714996380905948e-16
WMB,1.2137992241738583e-16
EQT,1.3943780273249583e-17
JPM,5.505872377727666e-17
BAC,9.747688974962917e-17
C,1.3495959579987613e-15
WFC,6.085369763653916e-16
GS,3.676081095302717e-17
MS,6.085914515267817e-16
BLK,4.640206676322927e-16
BK,4.2130970010259917e-17
STT,8.21664952434014e-16
TROW,3.962206404893039e-15
SCHW,2.080468005661334e-16
AXP,4.936280556381996e-18
COF,1.2289996061289438e-16
USB,1.7302250123896762e-16
PNC,1.2298228113346019e-16
TFC,8.286342967699862e-16
CMA,1.553699537071464e-17
MTB,1.3177109751092141e-17
RF,5.622505453823716e-17
CB,6.52769061804072e-17
TRV,4.018140481299972e-17
AIG,3.3763656105401814e-16
MET,3.7107770807569247e-16
PRU,8.94675259558961e-16
JNJ,2.2689981977167868e-17
PFE,5.263483741369131e-16
MRK,5.565988828990644e-17
ABBV,8.436585609411116e-18
LLY,0.2487819521888613
BMY,1.3388767163472827e-16
GILD,1.1948398336664823e-16
AMGN,6.268705264400327e-16
MDT,3.9010217689675626e-16
SYK,4.150769136842541e-17
ISRG,4.028048821342098e-17
DHR,0.003147822731513087
TMO,4.937717157676535e-17
UNH,1.2243001111708914e-16
HUM,5.845668657763291e-18
CI,4.0742044517184184e-17
HCA,5.163661727667076e-17
CVS,2.2995579925559975e-15
ZBH,7.4526286061361465e-16
REGN,1.327373727025735e-15
CAT,3.740270468863848e-17
DE,0.0033573009193011336
HON,8.611061188264699e-18
GE,9.247237789417438e-16
LMT,3.742649159350607e-17
NOC,0.03904572584513576
RTX,7.913373379018752e-17
BA,5.790086628017275e-16
MMM,7.685483409683791e-16
ITW,3.77958025842762e-17
EMR,2.487182272967347e-17
ETN,4.580811083988008e-17
PH,1.0661607243342456e-17
GD,3.0045140235748335e-17
UPS,7.066576243501691e-16
FDX,1.099187900460369e-15
CMI,3.380875498186175e-17
DAL,7.980071101547469e-16
LUV,1.546480568169654e-15
UNP,2.2306381868233105e-17
NSC,1.9144683188981004e-17
CSX,8.827702193189825e-17
ROP,3.126678623774552e-17
ROK,5.502575040698228e-16
AAPL,3.4954689030298396e-17
MSFT,1.1955113134351387e-16
NVDA,0.20146331129624276
AVGO,0.01512607682806393
AMD,0.0009030923785657697
INTC,7.968539476425669e-15
QCOM,2.6734565586421567e-15
TXN,9.954618954400119e-16
MU,6.0254658721305015e-15
ORCL,7.073977082666251e-17
CRM,1.3290377966296827e-15
NOW,4.911953286504907e-17
PANW,5.516058305922687e-18
ANET,0.04327556686414702
ADBE,7.525655217419399e-16
SAP,5.698055532126269e-17
ASML,1.883645981700466e-15
TSM,7.06818705924143e-17
LRCX,1.3408500810972902e-15
KLAC,1.3941318477059062e-15
AMAT,2.6510859857022438e-15
ADI,1.4531448342195873e-15
NXPI,2.69768775977795e-15
INTU,1.2718684437018152e-15
CDNS,8.10378325967131e-18
LIN,9.177046959125943e-18
APD,2.6975380844753275e-17
ECL,4.0504280528927555e-16
SHW,4.052371588005385e-17
PPG,1.480046782860779e-15
MLM,3.677766623083721e-17
VMC,2.577864876955061e-17
NUE,1.4492659251036587e-17
STLD,9.227552608527904e-17
FCX,9.274865264618281e-16
ALB,1.6134592864713464e-15
DD,1.1752759307084931e-15
PLD,1.5721837165174757e-16
AMT,7.791049137259924e-18
CCI,2.889588896121864e-16
SPG,2.0935523269057576e-16
O,5.573438381187294e-17
PSA,8.043928680750665e-17
WELL,8.13561304054075e-17
EQIX,4.85222073096696e-17
NEE,3.527056419206188e-17
DUK,5.412700269942681e-17
SO,8.384671412798927e-17
D,2.1044120932615724e-17
AEP,4.950638015211468e-17
EXC,3.2813118587858944e-17
SRE,5.1817089661041645e-17
XEL,6.948878523812015e-17
